blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
0,54,15,0,21,32,29,0,1,0,1,2,128,-6087,-8898
1,52,19,1,24,12,34,2,1,0,6,9,114,13256,11957
0,51,33,0,12,27,21,0,0,0,0,3,135,-8371,-9616
1,99,32,1,45,38,76,1,1,2,6,11,214,9848,7832
0,58,14,0,14,43,14,0,1,0,2,2,96,-20660,-18196
0,34,13,1,25,37,33,1,0,0,1,0,67,-13781,-11488
1,82,21,0,36,15,44,3,1,2,3,10,158,12525,20370
0,66,21,0,9,26,18,0,1,0,3,1,103,-8463,-10735
0,60,15,1,18,32,29,0,0,0,0,2,103,-10346,-8085
1,95,45,0,24,28,55,1,0,1,0,8,106,483,7211
1,114,35,1,36,13,64,2,1,1,3,6,157,6844,17136
0,47,18,1,26,36,30,1,1,0,4,5,139,-5653,-10507
0,57,26,0,26,38,38,0,0,0,1,2,113,-9928,-12307
0,59,22,1,20,32,30,0,0,0,2,0,113,-13400,-10097
0,72,25,0,27,35,39,1,0,0,4,5,116,-9165,-16684
1,68,27,1,24,23,32,1,1,2,5,11,152,9357,5654
0,63,18,1,46,57,59,4,1,0,6,8,137,-7220,-18681
1,55,16,1,46,30,38,1,1,1,3,9,169,6946,8744
0,57,21,0,38,44,32,3,1,0,4,7,155,-2320,-9255
1,105,36,0,60,44,73,4,0,1,1,11,180,5606,4172
1,61,15,1,58,36,97,2,0,1,3,8,125,6873,8784
0,65,19,0,38,50,35,0,0,0,3,6,133,-4742,-11723
1,41,8,1,41,14,32,2,1,0,6,3,96,5171,8077
0,49,13,0,26,45,31,0,1,0,1,3,104,-13545,-13997
0,63,29,0,20,20,26,1,0,0,1,4,115,-5907,-3999
0,77,30,1,30,34,37,0,0,1,3,3,130,-5025,-9800
0,47,15,0,14,18,23,1,1,0,0,3,105,-9054,-10322
1,73,24,0,55,44,58,2,0,2,0,9,155,10564,15732
0,58,8,1,20,44,32,0,1,0,2,3,79,-11320,-10589
0,59,17,0,34,50,42,1,0,0,0,3,100,-9451,-12942
0,50,12,0,21,44,24,2,0,0,4,5,61,-13206,-13963
0,56,18,0,18,31,23,2,0,0,0,3,85,-9724,-6250
0,110,23,0,30,41,35,1,0,0,3,5,145,-11436,-12393
1,70,29,1,30,24,60,3,1,1,6,10,153,11224,11625
0,39,11,0,32,32,43,1,1,0,6,4,118,-5504,-7251
1,37,12,0,44,22,66,2,0,0,2,9,82,14008,10499
1,53,20,1,28,19,42,1,0,1,1,9,130,8334,12079
1,59,18,1,31,14,36,2,1,0,2,4,104,7057,9245
1,100,24,1,30,20,65,1,0,1,3,10,137,9814,8118
0,97,38,1,31,26,61,2,1,0,1,4,143,-4183,-338
0,67,24,1,13,35,22,1,1,0,3,3,107,-10906,-14556
1,48,11,1,27,10,37,1,1,0,6,5,96,11910,10323
0,121,48,0,22,27,49,1,1,0,3,4,160,-4667,-6242
0,29,9,1,5,16,4,0,0,0,1,1,71,-4657,-4183
0,143,52,0,27,33,36,3,0,1,5,3,197,-5965,-4315
0,28,10,1,11,22,8,0,0,0,3,1,71,-4920,-5696
0,83,47,0,36,34,45,3,1,1,6,6,172,-3297,-3470
0,72,18,1,25,27,36,3,1,0,5,3,111,-6490,-5138
1,87,48,0,41,32,55,1,0,1,6,11,149,10416,12836
1,91,25,0,35,32,62,1,1,1,3,11,140,9322,5884
0,54,17,1,13,29,23,2,0,0,0,3,87,-13171,-16785
1,88,28,1,38,18,75,2,0,1,0,7,128,7051,12155
0,53,14,1,15,29,29,0,0,0,2,1,104,-10712,-11052
0,42,11,0,10,24,16,0,0,0,0,1,74,-6707,-6251
1,74,24,1,32,21,60,3,0,0,0,8,138,7486,2272
1,58,22,1,34,22,64,3,1,1,2,7,98,8143,9056
0,81,9,1,27,43,38,0,0,0,1,4,125,-8783,-11545
0,98,29,1,32,18,57,1,1,2,3,6,126,5076,11597
0,58,21,1,16,31,25,1,0,0,1,2,73,-13418,-15070
1,102,25,1,35,34,69,2,0,1,6,7,159,4577,9469
0,91,28,1,44,32,77,1,1,0,2,5,171,979,-844
0,46,14,1,15,33,21,1,0,0,3,0,87,-10318,-6737
1,74,24,1,21,21,29,3,0,1,6,9,115,3003,1974
0,63,15,0,25,46,37,2,1,0,6,2,146,-13134,-14665
0,53,26,1,14,17,23,2,0,0,4,2,120,-5542,-5522
0,100,46,0,30,38,41,2,0,0,6,5,119,-3643,-5003
1,4,0,0,0,0,0,0,0,0,0,0,22,244,449
1,57,19,1,34,35,60,0,1,1,3,8,111,2620,-3049
1,71,30,1,28,24,35,3,0,2,0,5,104,5820,5248
1,80,38,1,34,31,43,3,0,2,6,11,157,8181,7895
0,46,17,0,22,38,27,2,1,0,3,2,114,-13972,-17932
1,36,10,1,23,7,28,2,1,0,3,3,65,11886,5718
1,58,18,0,41,31,52,3,0,2,3,8,164,9138,14463
0,107,41,1,27,35,32,1,1,1,6,5,113,-7309,-11323
1,88,18,0,36,25,68,4,0,0,3,8,126,5578,5680
1,100,25,1,42,23,80,0,1,1,0,5,128,9820,10971
0,31,3,0,5,19,6,0,0,0,6,0,82,-10859,-4904
0,62,15,0,22,30,40,1,1,0,5,6,112,-3613,-6701
1,65,30,1,36,25,60,3,1,1,4,10,122,6664,8500
1,134,64,0,34,24,68,3,0,1,2,9,179,1702,-1817
0,82,21,0,17,24,20,1,1,0,0,2,66,-8217,-9959
0,65,16,1,28,37,43,0,0,0,2,3,142,-7741,-10627
0,79,29,0,30,51,48,1,0,1,6,2,111,-13405,-13223
0,94,23,1,37,35,51,4,0,0,6,6,171,-6252,-9134
0,74,32,0,25,35,42,2,0,0,6,3,139,-8927,-13700
1,64,17,0,31,18,30,1,1,1,0,11,115,9828,11523
0,56,17,0,22,33,25,0,0,0,4,3,81,-11512,-13118
1,69,24,1,31,15,54,2,1,1,3,9,100,11537,12524
0,53,17,0,15,34,26,0,1,0,3,3,98,-8365,-13219
0,61,19,0,27,39,34,0,1,0,2,3,112,-11091,-13707
0,79,32,1,17,28,28,1,1,1,5,5,136,-3118,-4936
